jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|vaccine_date_timeOfDay:radius,  modelParams|sensorParams|encoders|vaccine_date_dayOfWeek:radius,  modelParams|sensorParams|encoders|vaccine_date_weekend:radius,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|tpParams|pamLength,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='avg_err':steps=[1]:window=1000:field=vaccine_name, 
1003,  1880,  completed,  eof,  2016-02-22 01:24:43,  2016-02-22 01:24:50,  7,  modelParams|sensorParams|encoders|vaccine_date_dayOfWeek:radius_3.17186827799.modelParams|clParams|alpha_0.0590810940926.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.037620759722,  459,  None,  3.17186827799,  None,  0.0590810940926,  11,  14,  3,  0.037620759722,  0.927947598253, 
1003,  1881,  completed,  eof,  2016-02-22 01:24:47,  2016-02-22 01:24:53,  6,  modelParams|sensorParams|encoders|vaccine_date_dayOfWeek:radius_3.38483402782.modelParams|clParams|alpha_0.0514382409202.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.0458018292592,  459,  None,  3.38483402782,  None,  0.0514382409202,  12,  14,  3,  0.0458018292592,  0.941048034934, 
1003,  1882,  completed,  killed,  2016-02-22 01:24:49,  2016-02-22 01:24:53,  4,  modelParams|sensorParams|encoders|vaccine_date_dayOfWeek:radius_3.43333594349.modelParams|clParams|alpha_0.0511370425522.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.0437266843317,  300,  None,  3.43333594349,  None,  0.0511370425522,  11,  14,  3,  0.0437266843317,  0.926421404682, 
1003,  1883,  completed,  killed,  2016-02-22 01:24:50,  2016-02-22 01:24:53,  3,  modelParams|sensorParams|encoders|vaccine_date_dayOfWeek:radius_3.80130314294.modelParams|clParams|alpha_0.0573168951061.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.0417205455619,  250,  None,  3.80130314294,  None,  0.0573168951061,  11,  14,  3,  0.0417205455619,  0.947791164659, 
1003,  1884,  completed,  killed,  2016-02-22 01:24:50,  2016-02-22 01:24:53,  3,  modelParams|sensorParams|encoders|vaccine_date_dayOfWeek:radius_3.39861933916.modelParams|clParams|alpha_0.0506473367952.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.0451830593885,  250,  None,  3.39861933916,  None,  0.0506473367952,  11,  14,  3,  0.0451830593885,  0.935742971888, 
1003,  1885,  completed,  eof,  2016-02-22 01:24:53,  2016-02-22 01:24:59,  6,  modelParams|sensorParams|encoders|vaccine_date_dayOfWeek:radius_3.5.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.05015,  459,  None,  3.5,  None,  0.05005,  11,  14,  3,  0.05015,  0.582969432314, 
1003,  1887,  completed,  eof,  2016-02-22 01:24:53,  2016-02-22 01:24:59,  6,  modelParams|sensorParams|encoders|vaccine_date_weekend:radius_1.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|spParams|synPermInactiveDec_0.05015,  459,  None,  None,  1,  0.05005,  11,  14,  3,  0.05015,  0.57423580786, 
1003,  1893,  completed,  eof,  2016-02-22 01:24:54,  2016-02-22 01:25:00,  6,  modelParams|sensorParams|encoders|vaccine_date_dayOfWeek:radius_1.0.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.1,  459,  None,  1.0,  None,  0.0001,  9,  12,  1,  0.1,  0.558951965066, 
1003,  1898,  completed,  eof,  2016-02-22 01:24:54,  2016-02-22 01:25:00,  6,  modelParams|sensorParams|encoders|vaccine_date_weekend:radius_1.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|spParams|synPermInactiveDec_0.1,  459,  None,  None,  1,  0.0001,  9,  12,  1,  0.1,  0.532751091703, 
1003,  1899,  completed,  eof,  2016-02-22 01:24:59,  2016-02-22 01:25:06,  7,  modelParams|sensorParams|encoders|vaccine_date_dayOfWeek:radius_6.0.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|spParams|synPermInactiveDec_0.0003,  459,  None,  6.0,  None,  0.1,  12,  16,  5,  0.0003,  0.733624454148, 
